camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
	10130	May 29	Aprobación del artículo 82 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	90%	10%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10131	May 29	Aprobación del artículo 83 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	98%	2%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10132	May 29	Aprobación del artículo 86 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	98%	2%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10133	May 29	Aprobación del artículo 87 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	98%	2%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10134	May 29	Aprobación del artículo 89 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10135	May 29	Aprobación del artículo 81 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10143	May 29	Aprobación del artículo 92 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10144	May 29	Aprobación del artículo 93 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	89%	11%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10145	May 29	Aprobación del artículo 92 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10146	May 29	Aprobación del artículo 95 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10147	May 29	Aprobación del artículo 97 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10148	May 29	Aprobación del artículo 98 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10149	May 29	Aprobación del artículo 99 contenido en el pliego de modificaciones del Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10151	May 29	Aprobación de proposición modificativa al artículo 5 presentada por el Senador Juan Manuel Galán al Proyecto de ley número 211 de 2013 Senado, 268 de 2013 Cámara.	aprobado	86%	14%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10152	May 29	Aprobación de la proposición suscrita por la Comisión Accidental al artículo 8 del Proyecto de Acto Legislativo número 16 de 2012 Senado, 192 de 2012 Cámara.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	10154	May 29	Aprobación de la proposición suscrita por el representante Guillermo Rivera por medio de la cual se suprime el artículo 33 del Proyecto de Acto Legislativo número 16 de 2012 Senado, ...	no-aprobado	21%	79%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
